Country;ID;qual;year;pop;fert;birth;mort;N=workforce;dN;K;c;v;s;gdp;delta;gamma;alpha;r;requil;s/v;K/v
Australia;AUS;1988;A;16401000;1.831;0.0149;0.0072;7979516;0.03149175965058532;638189092084;66679218620;2.042921735216785E11;1.505102945133215E11;421481686655;0.10;0.02;0.66;0.24;0.23;0.74;3.12
Australia;AUS;1989;A;16681000;1.838;0.0149;0.0073;8230805;0.027519300967523832;670542695563;68800589931;2.168271449799296E11;1.525839566410704E11;438211691552;0.10;0.01;0.54;0.23;0.26;0.70;3.09
Australia;AUS;1990;A;16956000;1.902;0.0154;0.007;8457311;0.0071140815325343955;684469818335;71765520244;2.1983911602665347E11;1.4501724263034653E11;436621878901;0.10;-0.00;0.55;0.21;0.20;0.66;3.11
Australia;AUS;1991;A;17202000;1.849;0.0149;0.006900000000000001;8517477;0.008707390697973121;692917332290;72249006512;2.224702919845252E11;1.468652429574748E11;441584541454;0.10;0.00;0.58;0.21;0.20;0.66;3.11
Australia;AUS;1992;A;17419000;1.888;0.015099999999999999;0.0070999999999999995;8591642;0.007093056251645495;705722465356;75692444277;2.2850171515730368E11;1.5253523324469632E11;456729392679;0.11;0.00;0.61;0.22;0.19;0.67;3.09
Australia;AUS;1993;A;17608000;1.859;0.0147;0.006900000000000001;8652583;0.017001975017171173;723139220385;77036759046;2.348976741971662E11;1.618406256458338E11;473775058889;0.11;0.01;0.63;0.22;0.21;0.69;3.08
Australia;AUS;1994;A;17781000;1.842;0.0145;0.0070999999999999995;8799694;0.023781849687045935;748686312516;80964900733;2.3134998899324902E11;1.8467756783175098E11;496992457558;0.11;0.01;0.56;0.25;0.26;0.80;3.24
Australia;AUS;1995;A;17976000;1.822;0.014199999999999999;0.006900000000000001;9008967;0.01220472891065091;770990237681;84995703608;2.48149201518206E11;1.85020059413794E11;518164964540;0.11;0.02;0.64;0.24;0.23;0.75;3.11
Australia;AUS;1996;A;18196000;1.796;0.013900000000000001;0.007;9118919;0.010309226345798225;804310817749;83099592459;2.5815349581809042E11;1.9926930665190955E11;540522394929;0.10;0.03;0.61;0.25;0.23;0.77;3.12
Australia;AUS;1997;A;18415000;1.778;0.0136;0.007;9212928;0.01481125218822941;843677747671;88096325379;2.75417422635318E11;2.02025107499682E11;565538855514;0.10;0.03;0.66;0.24;0.23;0.73;3.06
Australia;AUS;1998;A;18621000;1.762;0.013300000000000001;0.0068;9349383;0.007569697380030318;888258198104;93609019054;2.9597356184475E11;2.0474184047625E11;594324421375;0.11;0.03;0.70;0.23;0.20;0.69;3.00
Australia;AUS;1999;A;18830000;1.755;0.013099999999999999;0.0068;9420155;0.018150550601343608;937990604582;98393122203;3.0701909430273E11;2.1520450939427002E11;620616725900;0.10;0.03;0.62;0.23;0.25;0.70;3.06
Australia;AUS;2000;A;19053000;1.756;0.013;0.0067;9591136;0.015112391274610223;972066826236;100558038563;3.114823246448769E11;2.206679947951231E11;632708358003;0.10;0.03;0.64;0.23;0.23;0.71;3.12
Australia;AUS;2001;A;19294000;1.739;0.0127;0.0066;9736081;0.01608624661195814;1012658556877;106397309447;3.1741232664416E11;2.3200095614884003E11;655810592240;0.11;0.03;0.69;0.23;0.21;0.73;3.19
Australia;AUS;2002;A;19535000;1.756;0.0128;0.0068;9892698;0.01783800536516934;1067324416760;114201796588;3.262633252971532E11;2.386841813978468E11;679149303283;0.11;0.02;0.76;0.22;0.19;0.73;3.27
Australia;AUS;2003;A;19767000;1.748;0.0126;0.0066;10069164;0.012756570456097448;1134129525407;119730969423;3.368999398331952E11;2.523336105948048E11;708964519851;0.11;0.02;0.78;0.22;0.18;0.75;3.37
Australia;AUS;2004;A;19995000;1.763;0.0126;0.0066;10197612;0.02920526884137188;1211241992556;120147311812;3.514952160037296E11;2.579033750562704E11;729545902872;0.10;0.02;0.86;0.21;0.17;0.73;3.45
Australia;AUS;2005;A;20232000;1.791;0.0127;0.0064;10495436;0.02068079877767822;1312224841783;125408764905;3.755159598058855E11;2.757370329021145E11;776661757613;0.10;0.02;0.84;0.21;0.17;0.73;3.49
Australia;AUS;2006;A;20489000;1.817;0.0128;0.0065;10712490;0.0178501916921276;1417815648429;136076102453;3.901631386786884E11;2.795499754703116E11;805789216602;0.10;0.02;0.92;0.20;0.15;0.72;3.63
Australia;AUS;2007;A;20750000;1.92;0.0135;0.0065;10903710;0.013254846286264032;1539367706455;146925383963;4.026927387426944E11;2.865378962783056E11;836156018984;0.10;0.02;0.89;0.19;0.15;0.71;3.82
Australia;AUS;2008;A;21007000;1.97;0.013800000000000002;0.0067;11048237;0.0;1648683459077;159968571888;4.143372054360336E11;2.803501744829664E11;854655951807;0.10;0.02;0.96;0.17;0.12;0.68;3.98
Austria;AUT;1964;A;7224000;2.77;0.0185;0.0123;3249911;-0.006757415818463952;118462597746;11669287050;4.21934798641538E10;3.53600706078462E10;89222837522;0.10;0.06;0.56;0.30;0.27;0.84;2.81
Austria;AUT;1965;A;7271000;2.685;0.0179;0.013;3227950;-0.011128115367338404;126452453567;12850674697;4.39888972081836E10;3.51489207928164E10;91988492698;0.10;0.04;0.66;0.28;0.20;0.80;2.87
Austria;AUT;1966;A;7322000;2.662;0.0176;0.0125;3192029;-0.01661325758631892;136886189728;12924206542;4.72737050477487E10;3.68932879332513E10;97091199523;0.09;0.05;0.62;0.27;0.20;0.78;2.90
Austria;AUT;1967;A;7377000;2.63;0.0174;0.013;3138999;-0.0063169819423325715;146762589479;13106421650;5.00415863846352E10;3.70152953773648E10;100163303412;0.09;0.05;0.61;0.25;0.22;0.74;2.93
Austria;AUT;1968;A;7415000;2.591;0.0171;0.013;3119170;-0.02601557465607838;156399758696;14554136479;5.1879431218672E10;3.8162059759328E10;104595627457;0.09;0.05;0.63;0.24;0.19;0.74;3.01
Austria;AUT;1969;A;7441000;2.496;0.016399999999999998;0.0134;3038023;-0.008225085853530404;165785681685;16384389576;5.4487362136389595E10;3.9740026883610405E10;110611778596;0.10;0.06;0.73;0.24;0.20;0.73;3.04
Austria;AUT;1970;A;7467000;2.29;0.015099999999999999;0.013300000000000001;3013035;-6.110118203074309E-4;178503919556;16870738012;5.53672188244572E10;4.61186460375428E10;118356602874;0.09;0.06;0.63;0.26;0.25;0.83;3.22
Austria;AUT;1971;A;7500000;2.202;0.0146;0.013099999999999999;3011194;0.005608074405036673;190772458693;18219049611;6.0254510479050606E10;4.5967808102949394E10;124441368193;0.10;0.06;0.70;0.24;0.23;0.76;3.17
Austria;AUT;1972;A;7544000;2.102;0.013900000000000001;0.0127;3028081;0.004942073874509962;204818935244;19431574057;6.35916905246655E10;4.90467053553345E10;132069969937;0.09;0.06;0.72;0.24;0.23;0.77;3.22
Austria;AUT;1973;A;7586000;1.97;0.013;0.0123;3043046;0.002618757652694044;220719458512;20723281344;6.90015876380775E10;4.89717895869225E10;138696658569;0.09;0.06;0.70;0.22;0.22;0.71;3.20
Austria;AUT;1974;A;7599000;1.95;0.0129;0.0125;3051015;-0.01837191885323409;234442165697;23292498257;7.32271288064569E10;4.7260323469543106E10;143779950533;0.10;0.05;0.66;0.20;0.20;0.65;3.20
Austria;AUT;1975;A;7579000;1.82;0.0125;0.0128;2994962;0.0019532802085635813;242438862829;24451593139;7.739161354476E10;4.1900503466240005E10;143743710150;0.10;0.04;0.86;0.17;0.17;0.54;3.13
Austria;AUT;1976;A;7566000;1.698;0.0116;0.0127;3000812;0.012450296786336499;253969794636;24960033124;8.09094587113092E10;4.4687744322690796E10;150557236158;0.10;0.04;0.88;0.18;0.17;0.55;3.14
Austria;AUT;1977;A;7568000;1.641;0.0114;0.0123;3038173;0.013478824280250006;268388779440;26094727303;8.58431430540726E10;4.64735395969274E10;158411409954;0.10;0.04;0.72;0.17;0.20;0.54;3.13
Austria;AUT;1978;A;7562000;1.621;0.0114;0.0126;3079124;0.012032967818119699;275937217560;28018693954;8.63998576941996E10;4.11447499258004E10;155563301574;0.10;0.02;1.01;0.15;0.13;0.48;3.19
Austria;AUT;1979;A;7549000;1.6;0.0115;0.0123;3116175;0.0038521584955915505;289330999993;29020133433;9.20050824195789E10;4.64699278204211E10;167495143673;0.10;0.03;0.87;0.16;0.15;0.51;3.14
Austria;AUT;1980;A;7549000;1.62;0.0121;0.0123;3128179;0.013453194334467433;300627874083;30827266390;9.22933374968795E10;4.51443687601205E10;168264972647;0.10;0.02;0.84;0.15;0.17;0.49;3.26
Austria;AUT;1981;A;7565000;1.67;0.0124;0.0123;3170263;0.04205108535159386;307631539626;31414336662;9.422069497136699E10;4.327980338163301E10;168914835015;0.10;0.01;0.81;0.14;0.19;0.46;3.27
Austria;AUT;1982;A;7575000;1.66;0.0125;0.012;3303576;-0.0027806231792457626;311267163681;32234573366;9.36295236964104E10;4.61857443495896E10;172049841412;0.10;-0.00;0.75;0.15;0.13;0.49;3.32
Austria;AUT;1983;A;7553000;1.56;0.0119;0.0123;3294390;0.020979301175634943;313470215550;32992167030;9.454588356088121E10;4.924931582811879E10;176787366419;0.11;0.01;0.72;0.16;0.19;0.52;3.32
Austria;AUT;1984;A;7554000;1.53;0.011699999999999999;0.0116;3363504;-0.002294036219371227;316114028141;34463028347;9.411189365738998E10;4.9095256695610016E10;177670178700;0.11;-0.00;0.79;0.16;0.13;0.52;3.36
Austria;AUT;1985;A;7560000;1.46;0.0116;0.011699999999999999;3355788;0.009898122289012297;320268780277;35029594697;9.75024643250948E10;5.08121762639052E10;183344235286;0.11;0.00;0.75;0.16;0.16;0.52;3.28
Austria;AUT;1986;A;7568000;1.47;0.0114;0.0114;3389004;0.0124844939693196;323267609307;36312279791;9.98156018130912E10;5.03736165519088E10;186501498156;0.11;0.01;0.78;0.16;0.17;0.50;3.24
Austria;AUT;1987;A;7579000;1.42;0.011300000000000001;0.0112;3431314;9.90582616455387E-4;326120827566;37596391296;1.0153140794280971E11;5.061506740819029E10;189742866647;0.12;0.01;0.87;0.16;0.15;0.50;3.21
Austria;AUT;1988;A;7600000;1.43;0.0116;0.011;3434713;0.004959366328423947;332586471913;38090867083;1.0341216680665862E11;5.5585143748341385E10;197088177638;0.11;0.01;0.87;0.17;0.15;0.54;3.22
Austria;AUT;1989;A;7628000;1.45;0.0115;0.0109;3451747;0.02216732570492565;342765343418;37206125085;1.0746929846619861E11;6.092874416680139E10;205604167718;0.11;0.02;0.78;0.18;0.20;0.57;3.19
Austria;AUT;1990;A;7723000;1.45;0.0116;0.0107;3528263;0.021718052197356036;353079113764;39361768453;1.1207475443484311E11;6.330721046115689E10;214743733349;0.11;0.02;0.79;0.18;0.20;0.56;3.15
Austria;AUT;1991;A;7818000;1.5;0.0121;0.0107;3604890;0.024566907728113756;363757246699;41530173401;1.1740031029441539E11;6.283058599558461E10;221761069691;0.11;0.02;0.84;0.17;0.19;0.54;3.10
Austria;AUT;1992;A;7915000;1.49;0.0121;0.0105;3693451;0.010421960383392118;374739284565;40713383375;1.207925906961036E11;6.546244136689639E10;226968415438;0.11;0.02;0.72;0.17;0.19;0.54;3.10
Austria;AUT;1993;A;7989000;1.48;0.0119;0.0103;3731944;0.03922486511051613;381289406750;43695094083;1.222647267606624E11;6.19759113723376E10;227935732216;0.11;0.01;0.85;0.16;0.20;0.51;3.12
Austria;AUT;1994;A;8028000;1.44;0.0115;0.01;3878329;0.006415391783420128;390022167539;44193246111;1.2292762041489601E11;6.569659638110399E10;232817462907;0.11;0.00;0.85;0.17;0.14;0.53;3.17
Austria;AUT;1995;A;8047000;1.4;0.011;0.0101;3903210;-0.008280364110565406;401916325427;43752647371;1.285335558827187E11;6.5255019963281296E10;237541223217;0.11;-0.00;0.85;0.16;0.12;0.51;3.13
Austria;AUT;1996;A;8061000;1.42;0.011;0.01;3870890;0.003122796049487327;413750817844;43821777345;1.3008658990166461E11;6.888108759033539E10;242789454837;0.11;0.00;0.81;0.17;0.14;0.53;3.18
Austria;AUT;1997;A;8070000;1.36;0.0101;0.009699999999999999;3882978;0.0013705975156181674;425727310186;44522870585;1.3305882642484082E11;7.029242077115918E10;247874117781;0.10;0.01;0.81;0.17;0.14;0.53;3.20
Austria;AUT;1998;A;8079000;1.369;0.01;0.0096;3888300;0.005591646735077026;438382608183;46124330888;1.3859478964571698E11;7.170047178028302E10;256419592314;0.11;0.02;0.83;0.16;0.15;0.52;3.16
Austria;AUT;1999;A;8094000;1.34;0.009654999999999999;0.00966;3910042;0.002457006855680834;452026903226;47846461949;1.3693280700437059E11;7.941677002862941E10;264196038982;0.11;0.02;0.79;0.18;0.17;0.58;3.30
Austria;AUT;2000;A;8113000;1.364;0.0096;0.0095;3919649;0.01636549599211562;466774719985;48995205348;1.3932396788091602E11;8.507950785608398E10;273398681085;0.10;0.03;0.72;0.18;0.21;0.61;3.35
Austria;AUT;2001;A;8132000;1.33;0.0094;0.009300000000000001;3983796;-0.005677499550679804;478720154272;50417425808;1.395839782147083E11;8.580175388029169E10;275803157903;0.11;0.02;0.65;0.18;0.18;0.61;3.43
Austria;AUT;2002;A;8148000;1.393;0.009699999999999999;0.0094;3961178;0.006948185615491149;484371434102;52481803532;1.397219522619201E11;8.51874537790799E10;277391209573;0.11;0.02;0.71;0.18;0.19;0.61;3.47
Austria;AUT;2003;A;8163000;1.375;0.0095;0.0095;3988701;-0.011817381147396108;492369133151;53963176369;1.40994871931169E11;8.5796376094831E10;280754424395;0.11;0.01;0.71;0.17;0.16;0.61;3.49
Austria;AUT;2004;A;8175000;1.418;0.009699999999999999;0.0091;3941565;0.017936783993160076;499714302201;55329943754;1.4095749078619922E11;9.126354625580078E10;287550980796;0.11;0.02;0.72;0.18;0.20;0.65;3.55
Austria;AUT;2005;A;8185000;1.407;0.0095;0.0091;4012264;0.01847410838369559;509821078845;56860204199;1.42608269989374E11;9.2163979777626E10;291632453966;0.11;0.01;0.74;0.18;0.19;0.65;3.57
Austria;AUT;2006;A;8193000;1.408;0.0094;0.009;4086387;0.0185351999211039;521237251194;57526572076;1.46250809153835E11;9.777067888116501E10;301548060111;0.11;0.01;0.75;0.19;0.19;0.67;3.56
Austria;AUT;2007;A;8200000;1.383;0.0092;0.009;4162129;0.005659363272978805;536952717017;58096778178;1.5228818172223352E11;1.0315875375476648E11;313543713655;0.11;0.01;0.70;0.19;0.18;0.68;3.53
Austria;AUT;2008;A;8206000;1.412;0.009300000000000001;0.009;4185684;0.0;551363913422;60170553867;1.572425255745162E11;1.025757800914838E11;319988859533;0.11;0.02;0.73;0.19;0.17;0.65;3.51
Belgium;BEL;1964;A;9367000;2.712;0.0172;0.011800000000000001;3763535;0.0043142949381366185;191908779414;19684234786;5.5590790961948006E10;4.1980386532051994E10;117255412280;0.10;0.05;0.75;0.22;0.21;0.76;3.45
